736*736,541696,1,400.192
736*736,541696,2,400.736
736*736,541696,3,402.176
736*736,541696,4,403.904
736*736,541696,5,394.528
736*736,541696,6,393.184
736*736,541696,7,397.792
736*736,541696,8,400.48
736*736,541696,9,395.648
736*736,541696,10,395.488
736*736,541696,3,399.648
736*736,541696,4,395.744
736*736,541696,5,396.992
736*736,541696,6,394.336
736*736,541696,7,392.032
736*736,541696,2,0.392032
736*736,541696,5,0.389984
736*736,541696,6,0.39216
736*736,541696,7,0.392
736*736,541696,8,0.399552
736*736,541696,1,0.390176
736*736,541696,11,0.391072
736*736,541696,12,0.392096
736*736,541696,13,0.394528
736*736,541696,14,0.392384
736*736,541696,15,0.391488
736*736,541696,16,0.390368
736*736,541696,17,0.39296
736*736,541696,18,0.394688
736*736,541696,19,0.392352
736*736,541696,1,0.392032
