736*736,541696,1,6701.22
736*736,541696,2,6683.84
736*736,541696,3,6702.24
736*736,541696,4,6679.36
736*736,541696,5,6779.9
736*736,541696,6,6688
736*736,541696,7,6678.02
736*736,541696,8,6687.78
736*736,541696,9,6675.78
736*736,541696,10,6688.58
736*736,541696,1,6693.63
736*736,541696,2,6756.1
736*736,541696,3,6680.7
736*736,541696,4,6776.67
736*736,541696,5,6721.31
736*736,541696,6,6691.97
736*736,541696,7,6702.11
736*736,541696,8,6671.2
736*736,541696,9,6690.94
736*736,541696,10,6690.72
736*736,541696,11,6687.46
736*736,541696,12,6697.06
736*736,541696,13,6690.27
736*736,541696,14,6706.14
736*736,541696,15,6687.46
736*736,541696,16,6702.85
736*736,541696,17,6707.55
736*736,541696,18,6673.6
736*736,541696,19,6770.85
736*736,541696,20,6696.58
736*736,541696,21,6659.68
736*736,541696,22,6684.42
736*736,541696,23,6684.06
736*736,541696,24,6707.58
736*736,541696,25,6709.63
736*736,541696,26,6722.11
736*736,541696,27,6684.77
736*736,541696,28,6709.7
736*736,541696,29,6697.44
736*736,541696,30,6692.42
736*736,541696,31,6678.3
736*736,541696,32,6700.26
736*736,541696,33,6725.57
736*736,541696,34,6707.52
736*736,541696,35,6802.3
736*736,541696,36,6695.33
736*736,541696,37,6686.27
736*736,541696,38,6702.62
736*736,541696,39,6684.8
736*736,541696,40,6681.41
736*736,541696,41,6706.82
736*736,541696,42,6696.45
736*736,541696,43,6707.62
736*736,541696,44,6693.47
736*736,541696,45,6683.55
736*736,541696,46,6699.68
736*736,541696,47,6689.09
736*736,541696,48,6680.86
736*736,541696,49,6688.67
736*736,541696,50,6706.56
736*736,541696,51,149080
736*736,541696,52,149737
736*736,541696,53,148464
736*736,541696,54,147859
736*736,541696,55,5851.36
736*736,541696,56,147611
736*736,541696,57,147893
736*736,541696,58,148478
736*736,541696,59,148199
736*736,541696,60,148869
736*736,541696,61,147740
736*736,541696,62,149166
736*736,541696,63,147643
736*736,541696,64,148304
736*736,541696,65,147704
736*736,541696,66,146599
736*736,541696,67,147586
736*736,541696,68,146482
736*736,541696,69,151273
736*736,541696,70,148426
736*736,541696,71,146753
736*736,541696,72,149495
736*736,541696,73,150333
736*736,541696,74,149464
736*736,541696,75,148376
736*736,541696,76,147217
736*736,541696,77,149237
736*736,541696,78,150300
736*736,541696,79,149623
736*736,541696,80,149751
736*736,541696,81,149851
736*736,541696,82,152229
736*736,541696,83,148500
736*736,541696,84,150426
736*736,541696,85,150739
736*736,541696,86,149438
736*736,541696,87,147845
736*736,541696,88,146317
736*736,541696,89,148520
736*736,541696,90,150085
736*736,541696,91,148504
736*736,541696,92,149417
736*736,541696,93,152162
736*736,541696,94,149656
736*736,541696,95,148281
736*736,541696,96,150288
736*736,541696,97,148686
736*736,541696,98,149476
736*736,541696,1,6708.64
736*736,541696,2,6685.47
736*736,541696,3,6699.94
736*736,541696,4,6705.38
736*736,541696,5,6708.42
736*736,541696,6,6719.55
736*736,541696,7,6788.54
736*736,541696,8,6692.22
736*736,541696,9,6688.99
736*736,541696,10,6789.98
736*736,541696,11,6717.02
736*736,541696,12,6690.98
736*736,541696,13,6688.99
736*736,541696,14,6712.54
736*736,541696,15,6691.68
736*736,541696,16,6710.78
736*736,541696,17,6674.78
736*736,541696,18,6692.8
736*736,541696,19,6688.1
736*736,541696,20,6704.83
736*736,541696,21,6710.3
736*736,541696,22,6661.76
736*736,541696,23,6694.18
736*736,541696,24,6698.21
736*736,541696,25,6714.75
736*736,541696,26,6701.95
736*736,541696,27,6686.56
736*736,541696,28,6691.81
736*736,541696,29,6686.85
736*736,541696,30,6716.42
736*736,541696,31,6732.26
736*736,541696,32,6680.93
736*736,541696,33,6792
736*736,541696,34,6700.67
736*736,541696,35,6711.52
736*736,541696,36,6702.34
736*736,541696,37,6706.91
736*736,541696,38,6686.34
736*736,541696,39,6725.82
736*736,541696,40,6689.09
736*736,541696,41,6703.49
736*736,541696,42,6684.03
736*736,541696,43,6706.94
736*736,541696,44,6678.11
736*736,541696,45,6684.96
736*736,541696,46,6686.14
736*736,541696,47,6679.87
736*736,541696,48,6718.69
736*736,541696,49,6708.26
736*736,541696,50,6710.94
736*736,541696,51,6697.89
736*736,541696,52,6689.98
736*736,541696,53,6690.5
736*736,541696,54,6730.21
736*736,541696,55,6689.5
736*736,541696,56,6687.3
736*736,541696,57,6704.19
736*736,541696,58,147815
736*736,541696,59,150636
736*736,541696,60,148707
736*736,541696,61,148677
